iter	Accuracy	MultiClass
200	0.9842632332	0.3036585761
201	0.9856938484	0.3021578802
202	0.9856938484	0.3006610556
203	0.9856938484	0.2986649213
204	0.9856938484	0.29695515
205	0.9856938484	0.2958129724
206	0.9856938484	0.2943994658
207	0.9842632332	0.2928504695
208	0.9842632332	0.2918052439
209	0.9842632332	0.2902272387
210	0.9856938484	0.2891947977
211	0.9856938484	0.2872537789
212	0.9856938484	0.2865575051
213	0.9856938484	0.2857867303
214	0.9856938484	0.2839162683
215	0.9871244635	0.2827241016
216	0.9856938484	0.2814061019
217	0.9871244635	0.2797507994
218	0.9871244635	0.2782255013
219	0.9871244635	0.2772021476
220	0.9871244635	0.2762810379
221	0.9871244635	0.2748838073
222	0.9871244635	0.273251483
223	0.9871244635	0.2711802812
224	0.9871244635	0.2698474277
225	0.9871244635	0.2690420381
226	0.9871244635	0.2679148588
227	0.9871244635	0.2665372311
228	0.9871244635	0.265596205
229	0.9871244635	0.2647620086
230	0.9871244635	0.2631335357
231	0.9871244635	0.2621205234
232	0.9871244635	0.2607653474
233	0.9871244635	0.259411613
234	0.9871244635	0.2589147468
235	0.9871244635	0.2572081931
236	0.9871244635	0.2556948958
237	0.9871244635	0.2538980889
238	0.9871244635	0.252594919
239	0.9871244635	0.2518834618
240	0.9871244635	0.2504707884
241	0.9871244635	0.2492777273
242	0.9871244635	0.2479710054
243	0.9871244635	0.2471996538
244	0.9871244635	0.2458249243
245	0.9871244635	0.2447652852
246	0.9871244635	0.2439377656
247	0.9871244635	0.242908803
248	0.9871244635	0.2420782875
249	0.9871244635	0.2415391442
250	0.9871244635	0.2401910734
251	0.9885550787	0.2391008543
252	0.9885550787	0.2380745411
253	0.9899856938	0.2371380247
254	0.991416309	0.2355814421
255	0.991416309	0.2348451707
256	0.991416309	0.2336407488
257	0.991416309	0.232862853
258	0.9928469242	0.2314302073
259	0.9928469242	0.2302464317
260	0.9928469242	0.2291916587
261	0.9928469242	0.2279181836
262	0.9942775393	0.2272098701
263	0.9942775393	0.2263699463
264	0.9942775393	0.2252403124
265	0.9942775393	0.2244461154
266	0.9942775393	0.2232725043
267	0.9942775393	0.2226260815
268	0.9942775393	0.2218329729
269	0.9942775393	0.2212271208
270	0.9942775393	0.2201973548
271	0.9942775393	0.2188052764
272	0.9942775393	0.2181896608
273	0.9942775393	0.2175057545
274	0.9942775393	0.2168746027
275	0.9942775393	0.2162559794
276	0.9942775393	0.2155269949
277	0.9942775393	0.2144438746
278	0.9942775393	0.2133742267
279	0.9942775393	0.2130364966
280	0.9957081545	0.2119527884
281	0.9957081545	0.2110773499
282	0.9971387697	0.2099726645
283	0.9971387697	0.209232839
284	0.9971387697	0.2090239512
285	0.9971387697	0.2082293257
286	0.9971387697	0.2073308678
287	0.9971387697	0.206905573
288	0.9971387697	0.2060767328
289	0.9971387697	0.2051437663
290	0.9971387697	0.2041811001
291	0.9971387697	0.2031970954
292	0.9971387697	0.2023613876
293	0.9971387697	0.2015024656
294	0.9971387697	0.2004370987
295	0.9971387697	0.1998378837
